📊 [1/27] 172.64.52.127（延迟 20ms，带宽 57.21Mbps，评分 100.0）
📊 [2/27] 104.16.240.59（延迟 122ms，带宽 336.50Mbps，评分 90.0）
📊 [3/27] 104.17.29.58（延迟 122ms，带宽 660.75Mbps，评分 90.0）
📊 [4/27] 104.18.81.19（延迟 122ms，带宽 1882.94Mbps，评分 90.0）
📊 [5/27] 104.17.99.128（延迟 123ms，带宽 1890.73Mbps，评分 90.0）
📊 [6/27] 104.19.220.22（延迟 123ms，带宽 1785.49Mbps，评分 90.0）
📊 [7/27] 162.159.58.65（延迟 124ms，带宽 1735.35Mbps，评分 90.0）
📊 [8/27] 162.159.34.44（延迟 124ms，带宽 1656.98Mbps，评分 90.0）
📊 [9/27] 104.26.3.162（延迟 127ms，带宽 1401.16Mbps，评分 90.0）
📊 [10/27] 198.41.208.15（延迟 130ms，带宽 1768.15Mbps，评分 90.0）
📊 [11/27] 104.19.148.88（延迟 122ms，带宽 1873.87Mbps，评分 90.0）
📊 [12/27] 104.17.162.3（延迟 123ms，带宽 1846.27Mbps，评分 90.0）
📊 [13/27] 104.17.139.37（延迟 123ms，带宽 1876.83Mbps，评分 90.0）
📊 [14/27] 104.19.212.207（延迟 123ms，带宽 1408.46Mbps，评分 90.0）
📊 [15/27] 104.16.105.166（延迟 124ms，带宽 1290.61Mbps，评分 90.0）
📊 [16/27] 104.16.211.252（延迟 124ms，带宽 1891.25Mbps，评分 90.0）
📊 [17/27] 198.41.208.78（延迟 127ms，带宽 1753.99Mbps，评分 90.0）
📊 [18/27] 198.41.208.224（延迟 130ms，带宽 1284.04Mbps，评分 90.0）
📊 [19/27] 104.17.97.171（延迟 130ms，带宽 750.24Mbps，评分 90.0）
📊 [20/27] 162.159.128.253（延迟 130ms，带宽 1883.13Mbps，评分 90.0）
📊 [21/27] 104.17.167.134（延迟 124ms，带宽 1811.87Mbps，评分 90.0）
📊 [22/27] 104.17.69.244（延迟 125ms，带宽 1356.09Mbps，评分 90.0）
📊 [23/27] 104.18.39.142（延迟 125ms，带宽 1784.73Mbps，评分 90.0）
📊 [24/27] 104.17.251.29（延迟 125ms，带宽 1877.87Mbps，评分 90.0）
📊 [25/27] 104.17.67.27（延迟 125ms，带宽 1888.20Mbps，评分 90.0）
📊 [26/27] 104.18.35.109（延迟 125ms，带宽 1391.82Mbps，评分 90.0）
📊 [27/27] 104.17.142.212（延迟 126ms，带宽 1882.86Mbps，评分 90.0）
